path	qualified_name	kind	start_line	end_line	line_count	character_count	is_one_line	static_call_sites	static_caller_files
adhoc/debug_xero_serialization.py	MockContact.__init__	function	15	16	2	92	no	9	7
adhoc/debug_xero_serialization.py	MockBill.__init__	function	20	21	2	64	no	9	7
adhoc/drive_storage_check.py	check_drive_storage	function	27	165	139	5037	no	1	1
adhoc/drive_storage_check.py	check_drive_storage.bytes_to_gb	function	57	60	4	158	no	0	0
adhoc/fix_missing_default_tasks.py	main	function	24	51	28	1087	no	32	32
adhoc/simple_drive_test.py	test_drive_access	function	27	163	137	5476	no	1	1
adhoc/test_actual_job_sync.py	main	function	26	91	66	2305	no	32	32
adhoc/test_costline_sync.py	main	function	21	71	51	1762	no	32	32
adhoc/test_google_drive.py	test_google_drive_access	function	20	107	88	2883	no	1	1
adhoc/test_pdf_parsing.py	test_pdf_parsing	function	17	63	47	1960	no	1	1
adhoc/test_quote_chat_api.py	test_with_different_headers	function	19	68	50	1717	no	1	1
adhoc/test_quote_chat_api.py	test_options_request	function	71	92	22	780	no	1	1
adhoc/test_template_access.py	test_template_access	function	22	74	53	1890	no	1	1
adhoc/upgrade_script.py	normalize_version	function	22	28	7	299	no	2	2
adhoc/upgrade_script.py	fetch_release_dates	function	31	54	24	842	no	2	2
adhoc/upgrade_script.py	main	function	57	94	38	1341	no	32	32
apps/accounting/migrations/0005_quote_number.py	backfill_quote_number	function	8	22	15	666	no	0	0
apps/accounting/migrations/0008_normalize_xero_raw_json_strings.py	_underscore_keys	function	6	16	11	381	no	3	1
apps/accounting/migrations/0008_normalize_xero_raw_json_strings.py	_normalize_raw_json	function	19	38	20	627	no	1	1
apps/accounting/migrations/0008_normalize_xero_raw_json_strings.py	normalize_raw_json_strings	function	41	48	8	484	no	0	0
apps/accounting/models/invoice.py	BaseXeroInvoiceDocument.__str__	function	47	48	2	78	no	0	0
apps/accounting/models/invoice.py	BaseXeroInvoiceDocument.get_line_items	function	51	52	2	127	no	4	4
apps/accounting/models/invoice.py	BaseXeroInvoiceDocument.total_amount	function	55	60	6	267	no	0	0
apps/accounting/models/invoice.py	BaseLineItem.__str__	function	93	94	2	92	no	0	0
apps/accounting/models/invoice.py	BaseLineItem.total_price	function	97	99	3	192	no	0	0
apps/accounting/models/invoice.py	Invoice.get_line_items	function	121	122	2	93	no	4	4
apps/accounting/models/invoice.py	Invoice.paid	function	125	127	3	131	no	0	0
apps/accounting/models/invoice.py	Bill.supplier	function	137	139	3	115	no	0	0
apps/accounting/models/invoice.py	Bill.supplier	function	142	143	2	72	no	0	0
apps/accounting/models/invoice.py	Bill.get_line_items	function	145	146	2	90	no	4	4
apps/accounting/models/invoice.py	CreditNote.__str__	function	160	161	2	85	no	0	0
apps/accounting/models/invoice.py	CreditNote.get_line_items	function	163	164	2	96	no	4	4
apps/accounting/models/quote.py	Quote.__str__	function	31	33	3	154	no	0	0
apps/accounting/serializers/core.py	JobAgingQuerySerializer.validate_include_archived	function	181	195	15	635	no	0	0
